Algiers,"Drama, Mystery, Romance","Pepe Le Moko, a thief who escaped from France with a fortune in jewels, has for two years lived in, and virtually ruled, the mazelike, impenetrable Casbah, ""native quarter"" of Algiers. A French official insists that he be captured, but sly Inspector Slimane knows he need only bide his time. The suave Pepe increasingly regards his stronghold as also his prison, especially when he meets beautiful Parisian visitor Gaby, who reminds him of the boulevards to which he dare not return...and arouses the mad jealousy of Ines, his Algerian mistress."
The Big Broadcast of 1938,"Animation, Comedy, Musical, Romance","New ocean liner S.S. Gigantic is about to race its rival, the Colossal. Gigantic owner T.F. Bellows sends his brother S.B. on the Colossal, hoping he will cause trouble; delayed by a golf game, S.B. lands on Gigantic instead, and so does his unlucky daughter Martha. Meanwhile, radio emcee Buzz Fielding announces a series of musical acts and tries to juggle fiancée Dorothy and three ex-wives who've come for the ride. Can the Gigantic win against all handicaps? Will true love triumph?"
Bluebeard's Eighth Wife,"Comedy, Romance","US multi-millionaire Michael Barndon marries his eight wife, Nicole, the daughter of a broken French Marquis. But she doesn't want to be only a number in the row of his ex-wives and starts her own strategy to ""tame"" him."
Boy Meets Girl,"Comedy, Drama, Romance","Funny and provocative, Boy Meets Girl vividly captures the giddy excitement, sexual heat, and inherent heartache of ""non-traditional"" love in a small town. Ricky (Michelle Hendley) is a 21-year-old trans girl living in Kentucky. Her only real friend, straight-laced Robby, has been her trusty, totally platonic, confidant for over 15 years. Her day job slinging lattes is merely a stepping-stone toward her goal of being a famous New York designer. She's confident, cool, and completely ready for something new - and then her world is transformed when an enchanting debutante saunters into her life. Triggering fresh feelings and experiences, this unlikely connection conjures up intense questions about identity while uncovering ghosts from Ricky's past. Indie-film veteran Eric Schaeffer (My Life's in Turnaround, If Lucy Fell) builds a compelling, compassionate world that focuses on the emotions and messy challenges of complex people navigating complicated relationships. Schaeffer creates a thoroughly authentic small-town atmosphere, capturing the cozy and claustrophobic ambiance of a place where everyone knows your name - and your sexual partners."
Bringing Up Baby,"Comedy, Family, Romance","Mild mannered zoology professor Dr. David Huxley is excited by the news that an intercostal clavicle bone has been found to complete his brontosaurus skeleton, a project four years in the construction. He is equally excited about his imminent marriage to his assistant, the officious Alice Swallow, who is interested in him more for his work than for him as a person. David needs the $1 million endowment of wealthy dowager Mrs. Carleton Random to complete the project. Her lawyer, Alexander Peabody, will make the decision on her behalf, so David needs to get in his favor. However, whenever David tries to make a good impression on Peabody, the same young woman always seems to do something to make him look bad. She is the flighty heiress Susan Vance. The more David wants Susan to go away, the more Susan seems not to want or be able to. But David eventually learns that Alexander Peabody is her good friend, who she calls Boopy, and Susan's Aunt Elizabeth, with whom David has also made a bad impression without her knowing who he is, is Mrs. Carleton Random. However getting in Aunt Elizabeth and Boopy's good graces is not as easy as Susan smoothing the waters with them. Throw into the mix a tame pet leopard named Baby that Susan's brother Mark inexplicably sends her from Brazil, Aunt Elizabeth's big game hunting friend Major Horace Applegate, Aunt Elizabeth's pet terrier George who has a penchant for burying bones and other things, and a traveling circus passing through town and David may never be able to finish his project or make it to his wedding. But David may come to the realization that there is something more important in his life."
The Buccaneer,"Adventure, Drama, History, Romance, War","During the War of 1812 against the United Kingdom of Great Britain and Ireland: General Andrew Jackson has only 1,200 men left to defend New Orleans when he learns that a British fleet will arrive with 60 ships and 16,000 men to take the city. In this situation an island near the city becomes strategically important to both parties, but it's inhabited by the last big buccaneer: Jean Lafitte. Although Lafitte never attacks American ships, the governor hates him for selling merchandise without taxes - and is loved by the citizens for the same reason. When the big fight gets nearer, Lafitte is drawn between the fronts. His heart belongs to America, but his people urge him to join the party that's more likely to win."
Carefree,"Comedy, Musical, Romance","Dr. Tony Flagg's friend, Steven, has problems in the relationship with his fiancee, Amanda, so he persuades her to visit Dr. Flagg. After some minor misunderstandings, she falls in love with Dr. Flagg. When he tries to use hypnosis to strengthen her feelings for Steven, things get complicated."
The Cowboy and the Lady,"Comedy, Drama, Romance, Western","Poor Mary Smith can't go night-clubbing or have any other fun because any hint of scandal could damage her father's political career. She decides to rebel and convinces her two maids to let her go along with them on a blind date with some rodeo performers. She tells her date, Stretch, that she's a parlor maid and that she left home because her father beat her. The two fall in love and elope. Now Mary has a double dilemma: continuing her charade with Stretch and keeping her marriage a secret from her father."
Flash Gordon's Trip to Mars,"Action, Adventure, Sci-Fi","Flash, Dale, and Dr. Zarkov return from their former space adventures only to find that their enemy, Ming the Merciless of planet Mongo, has a new weapon: a deadly ray that crosses space to wreak havoc on earth. Earth's only hope is for our heroes to take off again and stop the ray at its source on Mars, where they (and a stowaway) must battle Ming's ally, Queen Azura, who turns her enemies into lumpish clay people. Can they survive 15 chapters of deadly perils? Find out next week..."
Four Daughters,"Drama, Music, Romance","Adam Lemp, the Dean of the Briarwood Music Foundation, has passed on his love of music to his four early adult daughters - Thea, Emma, Kay and Ann - who live with him and his sister, the ..."
Four's a Crowd,"Comedy, Romance","Robert will do anything to get the big account that has eluded him. His public relations business makes public angels of rich scoundrels. Jean needs someone to save the paper and she wants Robert. When he finds out that Pat is dating Lorri, John Dillingwell's granddaughter, he gets involved. Robert begins to make John the most hated man and Lorri blames Pat, the publisher. He then goes to John for a job to erase all the bad publicity that he has gotten from the paper. This works until Pat tells John that Robert was behind the smear campaign. But John decides that he does need some good publicity and hires Robert to provide it..."
The Great Waltz,"Biography, Drama, Music, Musical, Romance","In 1845 Vienna, Johann Strauss II - Schani to his friends - would rather write and perform waltzes than anything else, this at a time when a waltz is not considered proper society music. After he is fired from his clerical bank job because of his preoccupation with composing, he decides to follow his passion and form an orchestra. After some famed opera singers, including Carla Donner, hear his music, they expose Schani's music to the masses, to royalty and to music publisher Julius Hofbauer. As such, Schani becomes the toast of Vienna. With his new found musical fame, Schani's life, which includes his work in the European Revolutions, changes. He becomes torn for his love for his loving and faithful wife Poldi Vogelhuber and his more emotionally passionate but somewhat destructive love for Carla Donner, who herself is involved with Count Anton Hohenfried."
Having Wonderful Time,"Comedy, Romance","Teddy Shaw, a bored New York office girl, goes to a camp in the Catskill Mountains for rest and finds Chick Kirkland."
Holiday,"Action, Thriller","Virat (Akshay Kumar) is among a battalion of military officers that comes to Mumbai on vacation. Virat is also a secret Defence Intelligence Agent who cannot lie low, much to the irritation of his friend and sub inspector. During a bus ride, an attempt to frisk passengers for a lost wallet leads Virat to something much bigger. Within minutes, the bus is blown into pieces and he helps cops nab the carrier of the bomb, who escapes from the hospital only to be caught by Virat again. Using tact, Virat follows one clue at a time hoping to track down the terrorist on whose orders the sleeper cell terrorists plan to cause mayhem in Mumbai."
Jezebel,"Drama, Romance","Set in antebellum New Orleans during the early 1850's, this film follows Julie Marsden through her quest for social redemption on her own terms. Julie is a beautiful and free spirited, rapacious Southern belle who is sure of herself and controlling of her fiancé Preston Dillard, a successful young banker. Julie's sensitive but domineering personality--she does not want so much to hurt as to assert her independence--forces a wedge between Preston and herself. To win him back, she plays North against South amid a deadly epidemic of yellow fever which claims a surprising victim."
Joy of Living,"Comedy, Musical, Romance","Broadway star Margaret Garrett has spent her whole life working to support her sponging relatives. When she meets carefree Dan Webster, she learns how to have fun for the first time."
"Listen, Darling","Comedy, Drama, Family, Musical, Romance","To stop Pinkie's mother Dottie from marrying a man they know she does not love, Pinkie and her friend Buzz kidnap her in the family trailer to live a life on the open road without worries about how to make ends meet. They then get the idea to find a husband for her whom both she and Pinkie would like."
