title,genre,plot
Judith of Bethulia,Drama,"A fascinating work of high artistry, ""Judith of Bethulia"" will not only rank as an achievement in this country, but will make foreign producers sit up and take notice. It has a signal and imperative message, and the technique displayed throughout an infinity of detail, embracing even the delicate film tinting and toning, marks an encouraging step in the development of the new art. Ancient in story and settings, it is modern in penetrative interpretation - it is a vivid history of one phase of the time it concerns, and is redemptive as well as relative, a lesson from one of those vital struggles that made and unmade nations as well as individuals, yet it is not without that inspiring influence that appeals powerfully to human sense of justice. The entire vigorous action of the play works up to the personal sacrifice of Judith of Bethulia, a perilous chance she takes for the sake of the lives and happiness of her people. She dares expose herself to overwhelming humiliation and dishonor in a challenge of beauty to strength, struggles through a conversion of sentiment that makes the high crisis more acute, and sets at defiance the ""better-death-than-dishonor"" platitude, escaping both through that all-conquering combination in a woman, great physical beauty joined to lofty intelligence. She enters upon a relation of constant peril - only delicate treatment saves the situation at times - abandons her native purity of conduct and dares her own undoing, yet the noble end justified the dangerous means, and she emerges idealized by her people, an apotheosis of splendid womanhood. Bethulia is a fortified town of Judea, guarding a hill pass through which an invading Assyrian army must march in order to enter Judea. In the town lives Judith, a devout young woman of lofty character and remarkable beauty, when the place is stormed by Holofernes at the head of a large army. The fighting before the gate brings into action an enormous number of soldiers on both sides, and those engines of war, such as the battering ram and catapult, which were used by the fighting male of other days under close condition of furious combat. One desperate assault after another is repelled, scaling ladders are thrown down, great rocks are showered upon the invaders, and the wonder is that they keep at it. The reason is that Holofernes has a way of torturing and killing unsuccessful captains. As officer had better die in the thick of battle than return with a confession of defeat. Holofernes is as merciless as nature to all who fail. The great leader's brutality of his captains when they do not succeed in carrying the fortress by storm indicates what the inhabitants of Bethulia may expect in the event of capture and serves to intensify the clash of character later on - it adds peril to the undertaking of Judith when she resolves to sacrifice herself for her people. Holofernes, after making a horrible example of defeated captains by frightful torture, resorts to strategy. His soldiers have seized the wells from which the inhabitants of Bethulia obtained their water supply, and their leader adopts waiting tactics, diverting himself with dancing girls to break the tedium. Bethulia is on the verge of famine, and the besieged are almost ready to surrender the fortress and all Judea to the spoilers, when Judith goes forth in her finest raiment, accompanied only by her maid, enters the Assryian camp and obtains an interview with the merciless Holofernes. Against his formidable strength, his brutal ferocity and cunning, his absolute power, are matched her fascinating personality directed by intelligence and hidden purpose. She is willing to carry ""her fault on her shoulders like a coronation mantle."" The dangerous and difficult situation from this point to Judith's terrible triumph and the defeat of the invading Assyrians is pictured without loss of force or charm by extreme delicacy of treatment. Beauty is constantly asserted by almost reckless prodigality in the matter of costume, and by the appeal of delightful acting. The feminine sweetness and shyness of the lovely Judith are intensified by her advances and retreats in measuring her sex attractions against his formidable power. She is weakened at the critical moment by a sudden flame of passion and compassion aroused in her breast, but self-control returns at a thought of all that is at stake, the safety and happiness of thousands of her people, and she dares be all and do all that revolts her finer nature from a deep hatred of injustice and wrong meted out to her peace-loving kindred and friends, from a noble desire to preserve her country and the destinies of her race."
The Pest,Comedy,"Miami scam artist Pest Vargas is on the run from the Scottish mob and a German headhunter, the mob after 50,000 dollars, the German guy after his head. Pest dons many disguises in an attempt to evade their clutches."
Kid Auto Races at Venice,"Short, Comedy","Charlie, dressed as a tramp for the first time, goes to a baby-cart race in Venice, California. He causes a great deal of trouble and confusion, both on off the track (getting in the way of the cameraman) and on (interfering with the race). He succeeds in irritating both the participants and the public."
The Knockout,"Short, Comedy","A couple of tramps, down on their luck and hungry, decide to fake an exhibition boxing match for a promoter. Meanwhile, Pug, a good-hearted but boisterous fellow, takes on a gang of mashers who make unwanted advances to his girlfriend. Impressed by his abilities, the mashers decide to pass Pug off as Cyclone Flynn, the champion, and enter him in the boxing match. But the real Cyclone shows up, and he and Pug battle it out in the ring. Soon the fight progresses to include pistols, rooftop chases, and the Keystone Kops in hot pursuit."
Laughing Gas,"Short, Comedy","Charlie pretends to be a dentist though he is only his assistant. When a patient can't stop laughing from the anesthesia Charlie knocks him out with a club. He is sent to the drug store, gets in a fight with a man who (after a brick in the face) becomes another patient, and pulls the skirt off the dentist's wife (who is out walking). At one point Charlie pulls a tooth (the wrong one) using enormous pliers."
Mabel at the Wheel,"Short, Comedy","Charlie, competing with his rival's race car, offers Mabel a ride on his motorcycle but drops her in a puddle. He next joins some dubious characters in abduction of his rival just before the race for the Vanderbilt Cup. With her boyfriend locked up in a shed, Mabel takes his place. Charlie does what he can to sabotage the race, even causing Mabel's car to overturn."
Mabel's Busy Day,"Short, Comedy","A hotdog girl gives one to a policeman who then allows her into a race track. While other customers swipe her hotdogs, Charlie runs off with the whole box, pretending to sell them while actually giving them away. She calls her policeman who battles Charlie."
Mabel's Married Life,"Short, Comedy","Mabel goes home after being humiliated by a masher whom her wimpy husband won't fight. The husband goes off to a bar and gets drunk. She buys a boxing dummy hoping it will inspire her husband, but when he returns he gets in a fight with it, taking it to be the ladykiller."
Mabel's Strange Predicament,"Short, Comedy","In a hotel lobby an inebriated Charlie runs into an elegant lady, gets tied hup in her dog's leash, and falls down. He later runs into her in the hotel corridor, locked out of her room. They run through various rooms. Mabel ends up in one of an elderly husband where she hides under the bed. Enter the jealous wife and Mabel's lover."
Making a Living,"Short, Comedy","An out-of-work swindler takes a job as a reporter. After witnessing a car go over cliff, he grabs a rival reporter's camera and races to the newspaper office to enter the photo as his own. His rival is delayed when he gets caught in a woman's bedroom by her jealous husband. The swindler follows the distribution of the paper containing his 'scoop' around town where he is once again chased by the rival reporter. Both end up on the cow-catcher of a streetcar."
The Picnic,"Animation, Short, Comedy","Summertime, and Mickey takes Minnie on a picnic. While Pluto is chasing a rabbit, and Mickey and Minnie are doing a courtship dance, every animal in the woods is busy making off with their picnic food. And then the rain comes."
